code,parent,urn,name#es,name#en,name#ca,name#eu,name#gl,description#es,description#en,description#ca,description#eu,description#gl
_T,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000)._T,Todas las universidades,,,,,,,,,
UNIVERSIDADES_PUBLICAS,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS,Universidades Públicas,,,,,,,,,
041,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).041,Universidad Ramon Llull ,,,,,,,,,
046,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).046,Universidad San Pablo-CEU,,,,,,,,,
047,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).047,Universidad Alfonso X El Sabio,,,,,,,,,
052,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).052,Universidad Antonio de Nebrija,,,,,,,,,
053,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).053,Universidad Europea de Madrid,,,,,,,,,
057,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).057,IE Universidad,,,,,,,,,
059,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).059,Universidad Católica Santa Teresa de Jesús de Avila,,,,,,,,,
060,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).060,Universidad de Vic-Universidad Central de Cataluña,,,,,,,,,
061,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).061,Mondragon Unibertsitatea,,,,,,,,,
062,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).062,Universidad Internacional de Catalunya,,,,,,,,,
